	rtt	tmp	targetedvscwnd	diff	average	output
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	0	0	0	0	0	0
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	0	0	0	0	0	0
11	0	0	0	0	0	0
12	0	0	0	0	0	0
13	0	0	0	0	0	0
14	0	0	0	0	0	0
15	0	0	0	0	0	0
16	0	0	0	0	0	0
17	0	0	0	0	0	0
18	0	0	0	0	0	0
19	0	0	0	0	0	0
20	0	0	0	0	0	0
21	0	0	0	0	0	0
22	0	0	0	0	0	0
23	0	0	0	0	0	0
24	0	0	0	0	0	0
25	0	0	0	0	0	0
26	0	0	0	0	0	0
27	0	0	0	0	0	0
28	0	0	0	0	0	0
29	0	0	0	0	0	0
30	0.0254612	0.86897	0.875	2	0.00848706	1
31	0.0254612	0.86897	0.875	2	0.0169741	1
32	0.0243927	0.907034	0.84375	5	0.025105	0
33	0.0243927	0.907034	0.84375	5	0.0247489	0
34	0.0243927	0.907034	0.84375	5	0.0243927	0
35	0.0231879	0.954161	0.90625	6	0.0239911	0
36	0.0231879	0.954161	0.90625	6	0.0235895	0
37	0.023003	0.961832	0.953125	6	0.0231263	0
38	0.023003	0.961832	0.953125	6	0.0230646	0
39	0.023	0.961957	0.960938	10	0.023002	0
40	0.023	0.961957	0.960938	10	0.023001	0
41	0.023	0.961957	0.960938	20	0.023	0
42	0.023	0.961957	0.960938	20	0.023	0
43	0.023	0.961957	0.960938	20	0.023	0
44	0.023	0.961957	0.961914	39	0.023	0
45	0.023	0.961957	0.961914	39	0.023	0
46	0.0222644	0.993739	0.961951	39	0.0227548	0
47	0.0222644	0.993739	0.961951	39	0.0225096	0
48	0.0220311	1	0.993177	7	0.0221866	0
49	0.0220272	1	1	0	0.0221075	0
50	0.0220272	1	1	0	0.0220285	0
51	0.0220268	1	1	0	0.0220271	0
52	0.0220268	1	1	0	0.0220269	0
53	0.0221033	0.99654	1	0	0.0220523	0
54	0.0221033	0.99654	1	0	0.0220778	0
55	0.0221033	0.99654	1	0	0.0221033	0
56	0.0220904	0.997123	0.996117	4	0.022099	0
57	0.0220904	0.997123	0.996117	4	0.0220947	0
58	0.022875	0.962921	0.99709	3	0.0223519	0
59	0.022875	0.962921	0.99709	3	0.0226135	0
60	0.022875	0.962921	0.99709	3	0.022875	0
61	0.0221762	0.993263	0.962209	39	0.0226421	0
62	0.0221762	0.993263	0.962209	39	0.0224092	0
63	0.0226701	0.971626	0.993224	7	0.0223408	0
64	0.0226701	0.971626	0.993224	7	0.0225055	0
65	0.0221349	0.995116	0.971109	31	0.0224917	0
66	0.0221349	0.995116	0.971109	31	0.0223133	0
67	0.0220606	0.998469	0.994657	6	0.0221102	0
68	0.0220606	0.998469	0.994657	6	0.0220854	0
69	0.0220606	0.998469	0.994657	6	0.0220606	0
70	0.0220191	1	0.998391	2	0.0220468	0
71	0.0220191	1	0.998391	2	0.0220329	0
72	0.0221349	0.994767	1	0	0.0220577	0
73	0.0221349	0.994767	1	0	0.0220963	0
74	0.0220406	0.999026	0.994378	7	0.0221035	0
75	0.0220406	0.999026	0.994378	7	0.022072	0
76	0.0221521	0.993996	0.998395	2	0.0220777	0
77	0.0221521	0.993996	0.998395	2	0.0221149	0
78	0.0221521	0.993996	0.998395	2	0.0221521	0
79	0.0220272	0.999634	0.993585	8	0.0221104	0
80	0.0220272	0.999634	0.993585	8	0.0220688	0
81	0.0220311	0.999457	0.999199	1	0.0220285	0
82	0.0220311	0.999457	0.999199	1	0.0220298	0
83	0.0220237	0.999792	0.999199	1	0.0220286	0
84	0.0220237	0.999792	0.999199	1	0.0220261	0
85	0.0220237	0.999792	0.999199	1	0.0220237	0
86	0.0222013	0.991794	0.9992	1	0.0220829	0
87	0.0222013	0.991794	0.9992	1	0.0221421	0
88	0.0220271	0.999637	0.991207	11	0.0221432	0
89	0.0220271	0.999637	0.991207	11	0.0220851	0
90	0.0220272	0.999633	0.999201	1	0.0220271	0
91	0.0220272	0.999633	0.999201	1	0.0220271	0
92	0.0220201	0.999953	0.999202	1	0.0220248	0
93	0.0220201	0.999953	0.999202	1	0.0220225	0
94	0.0220201	0.999953	0.999202	1	0.0220201	0
95	0.0221978	0.991948	0.999272	1	0.0220794	0
96	0.0221978	0.991948	0.999272	1	0.0221386	0
97	0.0224084	0.982626	0.991293	13	0.022268	0
98	0.0224084	0.982626	0.991293	13	0.0223382	0
99	0.0220471	0.998731	0.982597	26	0.022288	0
100	0.0220471	0.998731	0.982597	26	0.0221675	0
101	0.0220471	0.998731	0.982597	26	0.0220471	0
102	0.0220355	0.999256	0.998662	2	0.0220432	0
103	0.0220355	0.999256	0.998662	2	0.0220394	0
104	0.0220311	0.999453	0.998663	2	0.022034	0
105	0.0220311	0.999453	0.998663	2	0.0220326	0
